序号,推荐类别,目标名称,NORAD ID,COSPAR ID,轨道类型,估算高度,倾角,平均运动,来源分组,教学价值,推荐理由
491,立方星/教育,PERSEUS-M1,40039,2014-033AF,SSO/近极轨,约580 km,97.96,14.956507,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
492,立方星/教育,PERSEUS-M2,40037,2014-033AD,SSO/近极轨,约581 km,98.0,14.955377,cubesat,立方星,适合讲解小卫星、低成本任务和教育实验。
493,气象环境,ARCTIC WEATHER SATELLITE,60543,2024-149CD,SSO/近极轨,约599 km,97.68,14.897918,active,活跃航天器,适合讲解极轨/静止气象观测和地球环境监测。
494,空间站/载人航天,OUTPOST MISSION 2,58334,2023-174CG,SSO/近极轨,约393 km,97.4,15.581832,active,活跃航天器,适合讲解载人航天、交会对接和近地轨道运行。
495,火箭体/碎片,SL-16 R/B,19650,1988-102B,LEO,约838 km,71.0,14.161654,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
496,火箭体/碎片,SL-16 R/B,20625,1990-046B,LEO,约842 km,71.0,14.15027,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
497,火箭体/碎片,SL-16 R/B,22220,1992-076B,LEO,约836 km,71.0,14.168755,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
498,火箭体/碎片,SL-16 R/B,22285,1992-093B,LEO,约841 km,71.02,14.154599,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
499,火箭体/碎片,SL-16 R/B,22566,1993-016B,LEO,约841 km,71.01,14.153159,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
500,火箭体/碎片,SL-16 R/B,22803,1993-059B,LEO,约835 km,70.99,14.172471,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
